T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,mean_n_admissible_min,mean_n_admissible_max,sd_n_admissible_mean,median_n_admissible_mean,min_n_admissible_mean,max_n_admissible_mean,pct_1_treatment_mean,pct_1_treatment_sd,pct_2plus_treatments_mean,pct_2plus_treatments_sd,pct_all_treatments_mean,pct_all_treatments_sd
10,-12.0,0.3,0,4.3641,0.2771527657367961,4.006,4.818,1.910033488198114,3.8,2.1,10.0,0.0,0.0,100.0,0.0,5.39,2.310098602994157
10,-12.0,0.3,1,6.7864,0.4186797237878986,6.097,7.266,2.9161183698739466,6.4,2.0,10.0,0.0,0.0,100.0,0.0,40.13,6.379489704426906
10,-12.0,0.3,2,5.7558,0.48399375569893,5.307,6.616,2.962611727273242,4.8,1.0,10.0,0.7,0.4422166387140533,99.3,0.44221663871405886,26.639999999999997,6.974748103774868
10,-12.0,0.3,3,6.2828,0.7829200044278682,4.768,7.236,3.380188929763205,6.95,1.0,10.0,6.08,2.0831599927887336,93.92,2.083159992788722,41.010000000000005,10.903969715454807
10,-12.0,0.3,4,6.7221,0.48963329815961937,5.827,7.384,3.656080092536766,8.9,1.0,10.0,12.080000000000002,2.5947810868913184,87.92,2.594781086891319,51.65,6.599873736165967
10,-12.0,0.3,5,6.7985,0.27327123278286475,6.379,7.281,3.759532896286455,9.55,1.0,10.0,14.7,2.0768565991260277,85.3,2.0768565991260397,54.32000000000001,4.500074073464419
10,-12.0,0.3,6,6.5844,0.4660446330556763,5.934,7.118,3.6550177352218824,8.4,1.0,10.0,13.13,1.958485809666913,86.87,1.9584858096669162,48.55,7.286860320695966
10,-12.0,0.3,7,6.5872,0.6149651841997053,5.505,7.46,3.586755543914445,7.9,1.0,10.0,12.1,2.417068932037773,87.9,2.417068932037773,47.67,9.404732851070252
10,-12.0,0.3,8,6.439400000000001,0.49553320328264133,5.363,7.109,3.5638567916564257,7.45,1.0,10.0,12.04,3.0236842868703513,87.96000000000001,3.023684286870357,44.12,6.800457500949641
10,-12.0,0.3,9,6.4879999999999995,0.459082418163304,5.919,7.402,3.5157588142410092,7.1,1.0,10.0,11.370000000000001,2.9996481275124403,88.63,2.9996481275124434,43.589999999999996,4.478206486232331
