T_final,c0_death,epsilon_selection,stage,n_admissible_treatments,mean_percentage,sd_percentage
7,-12.0,0.3,0,2,8.6,3.970446378487493
7,-12.0,0.3,0,3,43.589999999999996,6.776503523204278
7,-12.0,0.3,0,4,16.009999999999998,5.0562282824694975
7,-12.0,0.3,0,5,7.090000000000001,3.621371747464396
7,-12.0,0.3,0,6,5.880000000000001,3.2013191725356664
7,-12.0,0.3,0,7,5.3100000000000005,2.4866085784100043
7,-12.0,0.3,0,8,3.72,1.8937323523196787
7,-12.0,0.3,0,9,2.0999999999999996,2.1639085008382404
7,-12.0,0.3,0,10,7.909999999999999,4.549102475580577
7,-12.0,0.3,1,2,5.3100000000000005,2.0024706961373715
7,-12.0,0.3,1,3,17.45,3.6360081896986367
7,-12.0,0.3,1,4,17.34,4.07054459910874
7,-12.0,0.3,1,5,11.52,2.261661139762345
7,-12.0,0.3,1,6,7.15,1.114799433879376
7,-12.0,0.3,1,7,4.41,0.8143845665422582
7,-12.0,0.3,1,8,2.8899999999999997,0.5425249610233001
7,-12.0,0.3,1,9,1.29,0.32128215360057294
7,-12.0,0.3,1,10,32.64,8.01043763542986
7,-12.0,0.3,2,1,1.7777777777777777,0.9947082207584516
7,-12.0,0.3,2,2,16.509999999999998,4.071158721216029
7,-12.0,0.3,2,3,21.84,2.745177589883758
7,-12.0,0.3,2,4,13.180000000000001,1.7943120006162687
7,-12.0,0.3,2,5,8.39,1.130830569881173
7,-12.0,0.3,2,6,5.6899999999999995,1.2251530516633422
7,-12.0,0.3,2,7,4.45,1.7089632984811451
7,-12.0,0.3,2,8,2.5200000000000005,0.5432413009990229
7,-12.0,0.3,2,9,1.26,0.49035134795822116
7,-12.0,0.3,2,10,24.56,4.046177894699582
7,-12.0,0.3,3,1,7.859999999999999,1.5529183995160711
7,-12.0,0.3,3,2,14.27,1.996135154631458
7,-12.0,0.3,3,3,12.4,1.9430788855719567
7,-12.0,0.3,3,4,9.11,1.1318127053536728
7,-12.0,0.3,3,5,6.529999999999999,1.0360716405946284
7,-12.0,0.3,3,6,4.49,0.6226288353960703
7,-12.0,0.3,3,7,3.69,1.0846914563854348
7,-12.0,0.3,3,8,2.17,0.4191260749066642
7,-12.0,0.3,3,9,1.45,0.7397447007057382
7,-12.0,0.3,3,10,38.03,3.045233068985762
7,-12.0,0.3,4,1,14.24,1.960272089957582
7,-12.0,0.3,4,2,12.940000000000001,1.5130543061414998
7,-12.0,0.3,4,3,11.1,2.590152290674988
7,-12.0,0.3,4,4,8.190000000000001,1.5307587080340985
7,-12.0,0.3,4,5,5.43,0.9393259994982216
7,-12.0,0.3,4,6,3.46,0.6149977416399366
7,-12.0,0.3,4,7,2.5100000000000002,0.7062420107709381
7,-12.0,0.3,4,8,1.83,0.47621190427978366
7,-12.0,0.3,4,9,1.21,0.562632700396587
7,-12.0,0.3,4,10,39.089999999999996,6.878218438584869
7,-12.0,0.3,5,1,17.41,2.0983856228592073
7,-12.0,0.3,5,2,13.819999999999999,1.7687409206677058
7,-12.0,0.3,5,3,12.459999999999999,2.217706523014762
7,-12.0,0.3,5,4,9.67,2.330498277669868
7,-12.0,0.3,5,5,6.44,1.6833828375559072
7,-12.0,0.3,5,6,4.16,1.3040109065665226
7,-12.0,0.3,5,7,2.17,0.676674876797483
7,-12.0,0.3,5,8,1.23,0.32335051500740736
7,-12.0,0.3,5,9,0.8,0.31269438398822863
7,-12.0,0.3,5,10,31.839999999999996,8.531406032354157
7,-12.0,0.3,6,1,20.23,3.3340165966393553
7,-12.0,0.3,6,2,15.75,3.758028442917612
7,-12.0,0.3,6,3,11.84,2.698229872424595
7,-12.0,0.3,6,4,8.09,1.984635426917946
7,-12.0,0.3,6,5,5.3,1.574801574802362
7,-12.0,0.3,6,6,3.35,1.278236632587601
7,-12.0,0.3,6,7,2.33,0.5926400443964467
7,-12.0,0.3,6,8,1.1400000000000001,0.5853773711604051
7,-12.0,0.3,6,9,0.62,0.32930904093942587
7,-12.0,0.3,6,10,31.35,10.386770431659686
