T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
7,1,2000,1000,-12.0,0.3,0,2,6.2
7,1,2000,1000,-12.0,0.3,0,3,31.1
7,1,2000,1000,-12.0,0.3,0,4,23.7
7,1,2000,1000,-12.0,0.3,0,5,4.3
7,1,2000,1000,-12.0,0.3,0,6,1.8
7,1,2000,1000,-12.0,0.3,0,7,2.4
7,1,2000,1000,-12.0,0.3,0,8,6.7
7,1,2000,1000,-12.0,0.3,0,9,6.7
7,1,2000,1000,-12.0,0.3,0,10,17.1
7,1,2000,1000,-12.0,0.3,1,2,7.2
7,1,2000,1000,-12.0,0.3,1,3,18.2
7,1,2000,1000,-12.0,0.3,1,4,19.1
7,1,2000,1000,-12.0,0.3,1,5,12.2
7,1,2000,1000,-12.0,0.3,1,6,6.2
7,1,2000,1000,-12.0,0.3,1,7,4.5
7,1,2000,1000,-12.0,0.3,1,8,3.3
7,1,2000,1000,-12.0,0.3,1,9,1.1
7,1,2000,1000,-12.0,0.3,1,10,28.2
7,1,2000,1000,-12.0,0.3,2,1,1.4
7,1,2000,1000,-12.0,0.3,2,2,19.5
7,1,2000,1000,-12.0,0.3,2,3,22.8
7,1,2000,1000,-12.0,0.3,2,4,13.3
7,1,2000,1000,-12.0,0.3,2,5,7.1
7,1,2000,1000,-12.0,0.3,2,6,3.9
7,1,2000,1000,-12.0,0.3,2,7,2.4
7,1,2000,1000,-12.0,0.3,2,8,1.6
7,1,2000,1000,-12.0,0.3,2,9,1.8
7,1,2000,1000,-12.0,0.3,2,10,26.2
7,1,2000,1000,-12.0,0.3,3,1,6.3
7,1,2000,1000,-12.0,0.3,3,2,18.1
7,1,2000,1000,-12.0,0.3,3,3,16.6
7,1,2000,1000,-12.0,0.3,3,4,7.6
7,1,2000,1000,-12.0,0.3,3,5,5.4
7,1,2000,1000,-12.0,0.3,3,6,4.6
7,1,2000,1000,-12.0,0.3,3,7,1.8
7,1,2000,1000,-12.0,0.3,3,8,1.6
7,1,2000,1000,-12.0,0.3,3,9,0.3
7,1,2000,1000,-12.0,0.3,3,10,37.7
7,1,2000,1000,-12.0,0.3,4,1,11.0
7,1,2000,1000,-12.0,0.3,4,2,13.4
7,1,2000,1000,-12.0,0.3,4,3,8.5
7,1,2000,1000,-12.0,0.3,4,4,8.1
7,1,2000,1000,-12.0,0.3,4,5,4.9
7,1,2000,1000,-12.0,0.3,4,6,2.5
7,1,2000,1000,-12.0,0.3,4,7,3.1
7,1,2000,1000,-12.0,0.3,4,8,1.4
7,1,2000,1000,-12.0,0.3,4,9,0.9
7,1,2000,1000,-12.0,0.3,4,10,46.2
7,1,2000,1000,-12.0,0.3,5,1,17.3
7,1,2000,1000,-12.0,0.3,5,2,15.7
7,1,2000,1000,-12.0,0.3,5,3,14.9
7,1,2000,1000,-12.0,0.3,5,4,12.9
7,1,2000,1000,-12.0,0.3,5,5,9.1
7,1,2000,1000,-12.0,0.3,5,6,5.1
7,1,2000,1000,-12.0,0.3,5,7,2.3
7,1,2000,1000,-12.0,0.3,5,8,1.8
7,1,2000,1000,-12.0,0.3,5,9,1.3
7,1,2000,1000,-12.0,0.3,5,10,19.6
7,1,2000,1000,-12.0,0.3,6,1,19.1
7,1,2000,1000,-12.0,0.3,6,2,12.8
7,1,2000,1000,-12.0,0.3,6,3,10.9
7,1,2000,1000,-12.0,0.3,6,4,7.7
7,1,2000,1000,-12.0,0.3,6,5,5.1
7,1,2000,1000,-12.0,0.3,6,6,3.4
7,1,2000,1000,-12.0,0.3,6,7,2.0
7,1,2000,1000,-12.0,0.3,6,8,1.3
7,1,2000,1000,-12.0,0.3,6,9,0.1
7,1,2000,1000,-12.0,0.3,6,10,37.6
7,2,2000,1000,-12.0,0.3,0,2,14.7
7,2,2000,1000,-12.0,0.3,0,3,42.1
7,2,2000,1000,-12.0,0.3,0,4,12.3
7,2,2000,1000,-12.0,0.3,0,5,2.8
7,2,2000,1000,-12.0,0.3,0,6,2.5
7,2,2000,1000,-12.0,0.3,0,7,10.3
7,2,2000,1000,-12.0,0.3,0,8,3.6
7,2,2000,1000,-12.0,0.3,0,9,0.2
7,2,2000,1000,-12.0,0.3,0,10,11.5
7,2,2000,1000,-12.0,0.3,1,2,3.0
7,2,2000,1000,-12.0,0.3,1,3,20.1
7,2,2000,1000,-12.0,0.3,1,4,18.2
7,2,2000,1000,-12.0,0.3,1,5,9.8
7,2,2000,1000,-12.0,0.3,1,6,8.1
7,2,2000,1000,-12.0,0.3,1,7,5.4
7,2,2000,1000,-12.0,0.3,1,8,2.6
7,2,2000,1000,-12.0,0.3,1,9,1.9
7,2,2000,1000,-12.0,0.3,1,10,30.9
7,2,2000,1000,-12.0,0.3,2,1,0.5
7,2,2000,1000,-12.0,0.3,2,2,12.2
7,2,2000,1000,-12.0,0.3,2,3,18.9
7,2,2000,1000,-12.0,0.3,2,4,12.6
7,2,2000,1000,-12.0,0.3,2,5,9.8
7,2,2000,1000,-12.0,0.3,2,6,6.8
7,2,2000,1000,-12.0,0.3,2,7,4.8
7,2,2000,1000,-12.0,0.3,2,8,3.2
7,2,2000,1000,-12.0,0.3,2,9,1.8
7,2,2000,1000,-12.0,0.3,2,10,29.4
7,2,2000,1000,-12.0,0.3,3,1,6.8
7,2,2000,1000,-12.0,0.3,3,2,14.7
7,2,2000,1000,-12.0,0.3,3,3,11.8
7,2,2000,1000,-12.0,0.3,3,4,8.4
7,2,2000,1000,-12.0,0.3,3,5,6.2
7,2,2000,1000,-12.0,0.3,3,6,4.7
7,2,2000,1000,-12.0,0.3,3,7,4.2
7,2,2000,1000,-12.0,0.3,3,8,2.6
7,2,2000,1000,-12.0,0.3,3,9,1.1
7,2,2000,1000,-12.0,0.3,3,10,39.5
7,2,2000,1000,-12.0,0.3,4,1,12.9
7,2,2000,1000,-12.0,0.3,4,2,13.5
7,2,2000,1000,-12.0,0.3,4,3,13.0
7,2,2000,1000,-12.0,0.3,4,4,10.1
7,2,2000,1000,-12.0,0.3,4,5,6.7
7,2,2000,1000,-12.0,0.3,4,6,3.3
7,2,2000,1000,-12.0,0.3,4,7,2.8
7,2,2000,1000,-12.0,0.3,4,8,1.8
7,2,2000,1000,-12.0,0.3,4,9,2.1
7,2,2000,1000,-12.0,0.3,4,10,33.8
7,2,2000,1000,-12.0,0.3,5,1,14.2
7,2,2000,1000,-12.0,0.3,5,2,11.0
7,2,2000,1000,-12.0,0.3,5,3,12.8
7,2,2000,1000,-12.0,0.3,5,4,10.0
7,2,2000,1000,-12.0,0.3,5,5,8.3
7,2,2000,1000,-12.0,0.3,5,6,5.8
7,2,2000,1000,-12.0,0.3,5,7,3.6
7,2,2000,1000,-12.0,0.3,5,8,1.3
7,2,2000,1000,-12.0,0.3,5,9,0.4
7,2,2000,1000,-12.0,0.3,5,10,32.6
7,2,2000,1000,-12.0,0.3,6,1,21.1
7,2,2000,1000,-12.0,0.3,6,2,9.8
7,2,2000,1000,-12.0,0.3,6,3,7.3
7,2,2000,1000,-12.0,0.3,6,4,3.8
7,2,2000,1000,-12.0,0.3,6,5,3.6
7,2,2000,1000,-12.0,0.3,6,6,1.2
7,2,2000,1000,-12.0,0.3,6,7,1.7
7,2,2000,1000,-12.0,0.3,6,8,0.5
7,2,2000,1000,-12.0,0.3,6,9,0.7
7,2,2000,1000,-12.0,0.3,6,10,50.3
7,3,2000,1000,-12.0,0.3,0,2,11.5
7,3,2000,1000,-12.0,0.3,0,3,38.6
7,3,2000,1000,-12.0,0.3,0,4,11.2
7,3,2000,1000,-12.0,0.3,0,5,6.8
7,3,2000,1000,-12.0,0.3,0,6,10.4
7,3,2000,1000,-12.0,0.3,0,7,8.0
7,3,2000,1000,-12.0,0.3,0,8,5.1
7,3,2000,1000,-12.0,0.3,0,9,1.2
7,3,2000,1000,-12.0,0.3,0,10,7.2
7,3,2000,1000,-12.0,0.3,1,2,7.1
7,3,2000,1000,-12.0,0.3,1,3,19.2
7,3,2000,1000,-12.0,0.3,1,4,17.0
7,3,2000,1000,-12.0,0.3,1,5,10.4
7,3,2000,1000,-12.0,0.3,1,6,8.2
7,3,2000,1000,-12.0,0.3,1,7,3.8
7,3,2000,1000,-12.0,0.3,1,8,2.4
7,3,2000,1000,-12.0,0.3,1,9,1.4
7,3,2000,1000,-12.0,0.3,1,10,30.5
7,3,2000,1000,-12.0,0.3,2,1,1.8
7,3,2000,1000,-12.0,0.3,2,2,13.0
7,3,2000,1000,-12.0,0.3,2,3,18.0
7,3,2000,1000,-12.0,0.3,2,4,10.1
7,3,2000,1000,-12.0,0.3,2,5,9.7
7,3,2000,1000,-12.0,0.3,2,6,7.3
7,3,2000,1000,-12.0,0.3,2,7,6.1
7,3,2000,1000,-12.0,0.3,2,8,2.7
7,3,2000,1000,-12.0,0.3,2,9,0.7
7,3,2000,1000,-12.0,0.3,2,10,30.6
7,3,2000,1000,-12.0,0.3,3,1,9.8
7,3,2000,1000,-12.0,0.3,3,2,15.6
7,3,2000,1000,-12.0,0.3,3,3,11.5
7,3,2000,1000,-12.0,0.3,3,4,8.8
7,3,2000,1000,-12.0,0.3,3,5,6.6
7,3,2000,1000,-12.0,0.3,3,6,4.5
7,3,2000,1000,-12.0,0.3,3,7,4.4
7,3,2000,1000,-12.0,0.3,3,8,2.4
7,3,2000,1000,-12.0,0.3,3,9,2.9
7,3,2000,1000,-12.0,0.3,3,10,33.5
7,3,2000,1000,-12.0,0.3,4,1,17.2
7,3,2000,1000,-12.0,0.3,4,2,15.0
7,3,2000,1000,-12.0,0.3,4,3,13.1
7,3,2000,1000,-12.0,0.3,4,4,7.4
7,3,2000,1000,-12.0,0.3,4,5,5.3
7,3,2000,1000,-12.0,0.3,4,6,4.1
7,3,2000,1000,-12.0,0.3,4,7,2.6
7,3,2000,1000,-12.0,0.3,4,8,1.9
7,3,2000,1000,-12.0,0.3,4,9,1.8
7,3,2000,1000,-12.0,0.3,4,10,31.6
7,3,2000,1000,-12.0,0.3,5,1,21.1
7,3,2000,1000,-12.0,0.3,5,2,14.6
7,3,2000,1000,-12.0,0.3,5,3,11.5
7,3,2000,1000,-12.0,0.3,5,4,8.7
7,3,2000,1000,-12.0,0.3,5,5,6.0
7,3,2000,1000,-12.0,0.3,5,6,3.0
7,3,2000,1000,-12.0,0.3,5,7,2.4
7,3,2000,1000,-12.0,0.3,5,8,1.3
7,3,2000,1000,-12.0,0.3,5,9,1.0
7,3,2000,1000,-12.0,0.3,5,10,30.4
7,3,2000,1000,-12.0,0.3,6,1,16.2
7,3,2000,1000,-12.0,0.3,6,2,12.3
7,3,2000,1000,-12.0,0.3,6,3,7.1
7,3,2000,1000,-12.0,0.3,6,4,5.7
7,3,2000,1000,-12.0,0.3,6,5,4.5
7,3,2000,1000,-12.0,0.3,6,6,3.5
7,3,2000,1000,-12.0,0.3,6,7,2.8
7,3,2000,1000,-12.0,0.3,6,8,0.9
7,3,2000,1000,-12.0,0.3,6,9,0.5
7,3,2000,1000,-12.0,0.3,6,10,46.5
7,4,2000,1000,-12.0,0.3,0,2,11.0
7,4,2000,1000,-12.0,0.3,0,3,37.2
7,4,2000,1000,-12.0,0.3,0,4,19.4
7,4,2000,1000,-12.0,0.3,0,5,14.1
7,4,2000,1000,-12.0,0.3,0,6,7.3
7,4,2000,1000,-12.0,0.3,0,7,5.1
7,4,2000,1000,-12.0,0.3,0,8,1.3
7,4,2000,1000,-12.0,0.3,0,9,0.5
7,4,2000,1000,-12.0,0.3,0,10,4.1
7,4,2000,1000,-12.0,0.3,1,2,7.0
7,4,2000,1000,-12.0,0.3,1,3,19.1
7,4,2000,1000,-12.0,0.3,1,4,16.4
7,4,2000,1000,-12.0,0.3,1,5,13.6
7,4,2000,1000,-12.0,0.3,1,6,8.6
7,4,2000,1000,-12.0,0.3,1,7,3.7
7,4,2000,1000,-12.0,0.3,1,8,2.6
7,4,2000,1000,-12.0,0.3,1,9,1.3
7,4,2000,1000,-12.0,0.3,1,10,27.7
7,4,2000,1000,-12.0,0.3,2,1,1.1
7,4,2000,1000,-12.0,0.3,2,2,15.3
7,4,2000,1000,-12.0,0.3,2,3,23.1
7,4,2000,1000,-12.0,0.3,2,4,14.3
7,4,2000,1000,-12.0,0.3,2,5,9.3
7,4,2000,1000,-12.0,0.3,2,6,5.9
7,4,2000,1000,-12.0,0.3,2,7,7.9
7,4,2000,1000,-12.0,0.3,2,8,2.7
7,4,2000,1000,-12.0,0.3,2,9,1.4
7,4,2000,1000,-12.0,0.3,2,10,19.0
7,4,2000,1000,-12.0,0.3,3,1,7.3
7,4,2000,1000,-12.0,0.3,3,2,12.2
7,4,2000,1000,-12.0,0.3,3,3,11.9
7,4,2000,1000,-12.0,0.3,3,4,11.0
7,4,2000,1000,-12.0,0.3,3,5,5.7
7,4,2000,1000,-12.0,0.3,3,6,5.2
7,4,2000,1000,-12.0,0.3,3,7,4.8
7,4,2000,1000,-12.0,0.3,3,8,2.2
7,4,2000,1000,-12.0,0.3,3,9,2.2
7,4,2000,1000,-12.0,0.3,3,10,37.5
7,4,2000,1000,-12.0,0.3,4,1,14.4
7,4,2000,1000,-12.0,0.3,4,2,11.7
7,4,2000,1000,-12.0,0.3,4,3,9.5
7,4,2000,1000,-12.0,0.3,4,4,7.2
7,4,2000,1000,-12.0,0.3,4,5,4.9
7,4,2000,1000,-12.0,0.3,4,6,4.0
7,4,2000,1000,-12.0,0.3,4,7,2.5
7,4,2000,1000,-12.0,0.3,4,8,1.9
7,4,2000,1000,-12.0,0.3,4,9,0.6
7,4,2000,1000,-12.0,0.3,4,10,43.3
7,4,2000,1000,-12.0,0.3,5,1,15.9
7,4,2000,1000,-12.0,0.3,5,2,14.3
7,4,2000,1000,-12.0,0.3,5,3,11.6
7,4,2000,1000,-12.0,0.3,5,4,8.3
7,4,2000,1000,-12.0,0.3,5,5,5.2
7,4,2000,1000,-12.0,0.3,5,6,3.9
7,4,2000,1000,-12.0,0.3,5,7,2.1
7,4,2000,1000,-12.0,0.3,5,8,0.8
7,4,2000,1000,-12.0,0.3,5,9,0.8
7,4,2000,1000,-12.0,0.3,5,10,37.1
7,4,2000,1000,-12.0,0.3,6,1,24.0
7,4,2000,1000,-12.0,0.3,6,2,19.4
7,4,2000,1000,-12.0,0.3,6,3,14.2
7,4,2000,1000,-12.0,0.3,6,4,8.3
7,4,2000,1000,-12.0,0.3,6,5,5.5
7,4,2000,1000,-12.0,0.3,6,6,3.3
7,4,2000,1000,-12.0,0.3,6,7,1.9
7,4,2000,1000,-12.0,0.3,6,8,0.9
7,4,2000,1000,-12.0,0.3,6,9,0.4
7,4,2000,1000,-12.0,0.3,6,10,22.1
7,5,2000,1000,-12.0,0.3,0,2,12.8
7,5,2000,1000,-12.0,0.3,0,3,46.8
7,5,2000,1000,-12.0,0.3,0,4,13.8
7,5,2000,1000,-12.0,0.3,0,5,3.8
7,5,2000,1000,-12.0,0.3,0,6,3.1
7,5,2000,1000,-12.0,0.3,0,7,3.7
7,5,2000,1000,-12.0,0.3,0,8,6.0
7,5,2000,1000,-12.0,0.3,0,9,1.6
7,5,2000,1000,-12.0,0.3,0,10,8.4
7,5,2000,1000,-12.0,0.3,1,2,6.2
7,5,2000,1000,-12.0,0.3,1,3,21.9
7,5,2000,1000,-12.0,0.3,1,4,23.3
7,5,2000,1000,-12.0,0.3,1,5,11.0
7,5,2000,1000,-12.0,0.3,1,6,6.2
7,5,2000,1000,-12.0,0.3,1,7,4.6
7,5,2000,1000,-12.0,0.3,1,8,3.4
7,5,2000,1000,-12.0,0.3,1,9,0.8
7,5,2000,1000,-12.0,0.3,1,10,22.6
7,5,2000,1000,-12.0,0.3,2,1,0.5
7,5,2000,1000,-12.0,0.3,2,2,18.8
