T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,mean_n_admissible,sd_n_admissible,median_n_admissible,min_n_admissible,max_n_admissible,pct_1_treatment,pct_2plus_treatments,pct_all_treatments
8,1,2000,1000,-12.0,0.3,0,4.29,2.3015640762744796,3.0,2,10,0.0,100.0,8.200000000000001
8,1,2000,1000,-12.0,0.3,1,6.955,3.051604051525572,7.0,2,10,0.0,100.0,44.4
8,1,2000,1000,-12.0,0.3,2,5.304,3.034599280431074,4.0,1,10,1.4000000000000001,98.6,23.5
8,1,2000,1000,-12.0,0.3,3,5.944,3.422656655082215,5.0,1,10,6.4,93.60000000000001,36.0
8,1,2000,1000,-12.0,0.3,4,6.094,3.675686966360802,6.0,1,10,14.799999999999999,85.2,42.1
8,1,2000,1000,-12.0,0.3,5,5.698,3.624628799468152,5.0,1,10,15.1,84.89999999999999,36.6
8,1,2000,1000,-12.0,0.3,6,5.359,3.4811258577128803,4.0,1,10,15.8,84.2,29.299999999999997
8,1,2000,1000,-12.0,0.3,7,5.177,3.6588328819526668,4.0,1,10,19.7,80.30000000000001,30.8
8,2,2000,1000,-12.0,0.3,0,4.543,2.496875124107208,3.0,2,10,0.0,100.0,10.9
8,2,2000,1000,-12.0,0.3,1,7.147,2.8589446592343415,7.0,2,10,0.0,100.0,45.2
8,2,2000,1000,-12.0,0.3,2,5.425,3.1506033233813016,4.0,1,10,2.7,97.3,25.900000000000002
8,2,2000,1000,-12.0,0.3,3,6.135,3.491269677920049,5.0,1,10,7.3,92.7,39.900000000000006
8,2,2000,1000,-12.0,0.3,4,6.425,3.7459855054988402,8.0,1,10,14.099999999999998,85.9,48.1
8,2,2000,1000,-12.0,0.3,5,5.088,3.5330919516393484,4.0,1,10,17.7,82.3,28.499999999999996
8,2,2000,1000,-12.0,0.3,6,4.92,3.5522131436920024,4.0,1,10,20.599999999999998,79.4,27.700000000000003
8,2,2000,1000,-12.0,0.3,7,4.738,3.558372945324593,3.0,1,10,21.7,78.3,26.5
8,3,2000,1000,-12.0,0.3,0,4.35,2.01781356214383,4.0,2,10,0.0,100.0,5.5
8,3,2000,1000,-12.0,0.3,1,6.214,2.9159401068449102,5.0,2,10,0.0,100.0,32.2
8,3,2000,1000,-12.0,0.3,2,5.598,3.0799158887674,4.0,1,10,0.4,99.6,27.3
8,3,2000,1000,-12.0,0.3,3,5.21,3.154972876880854,4.0,1,10,6.2,93.8,24.3
8,3,2000,1000,-12.0,0.3,4,6.027,3.6690234031323286,6.0,1,10,15.0,85.0,41.199999999999996
8,3,2000,1000,-12.0,0.3,5,6.858,3.6297397993535307,10.0,1,10,11.5,88.5,52.400000000000006
8,3,2000,1000,-12.0,0.3,6,4.99,3.441474065534091,4.0,1,10,17.299999999999997,82.69999999999999,26.0
8,3,2000,1000,-12.0,0.3,7,5.093,3.5962875697424814,4.0,1,10,18.2,81.8,30.099999999999998
8,4,2000,1000,-12.0,0.3,0,4.54,2.6171070381719677,3.0,2,10,0.0,100.0,14.7
8,4,2000,1000,-12.0,0.3,1,7.453,2.6246294366404714,8.0,2,10,0.0,100.0,46.400000000000006
8,4,2000,1000,-12.0,0.3,2,5.783,3.014132710415385,5.0,1,10,0.2,99.8,27.0
8,4,2000,1000,-12.0,0.3,3,6.473,3.4323537189590545,7.0,1,10,4.0,96.0,43.6
8,4,2000,1000,-12.0,0.3,4,6.903,3.6525240494666056,10.0,1,10,10.7,89.3,54.1
8,4,2000,1000,-12.0,0.3,5,5.568,3.583883399361679,5.0,1,10,16.3,83.7,33.6
8,4,2000,1000,-12.0,0.3,6,5.48,3.5361142662680036,5.0,1,10,16.8,83.2,31.2
8,4,2000,1000,-12.0,0.3,7,6.46,3.762519974240211,8.0,1,10,13.8,86.2,48.6
8,5,2000,1000,-12.0,0.3,0,4.912,2.692490576679054,3.0,2,10,0.0,100.0,13.700000000000001
8,5,2000,1000,-12.0,0.3,1,5.918,3.074854586924515,5.0,2,10,0.0,100.0,31.8
8,5,2000,1000,-12.0,0.3,2,5.281,3.2481671123249787,4.0,1,10,1.4000000000000001,98.6,27.900000000000002
8,5,2000,1000,-12.0,0.3,3,5.633,3.554003649680448,4.0,1,10,9.9,90.10000000000001,34.8
8,5,2000,1000,-12.0,0.3,4,5.559,3.650458169167926,4.0,1,10,15.5,84.5,35.3
8,5,2000,1000,-12.0,0.3,5,5.305,3.6953525718976574,4.0,1,10,19.900000000000002,80.10000000000001,33.4
8,5,2000,1000,-12.0,0.3,6,5.144,3.6304881826614506,4.0,1,10,18.6,81.39999999999999,30.8
8,5,2000,1000,-12.0,0.3,7,5.0,3.6399518196329534,4.0,1,10,22.1,77.9,30.599999999999998
8,6,2000,1000,-12.0,0.3,0,4.599,2.447486300102452,3.0,2,10,0.0,100.0,10.2
8,6,2000,1000,-12.0,0.3,1,7.453,2.813842338992842,9.0,2,10,0.0,100.0,49.5
8,6,2000,1000,-12.0,0.3,2,5.932,3.1939908543353055,5.0,2,10,0.0,100.0,32.9
8,6,2000,1000,-12.0,0.3,3,5.924,3.380480979335877,5.0,1,10,4.8,95.19999999999999,36.7
8,6,2000,1000,-12.0,0.3,4,6.71,3.738700025126097,10.0,1,10,11.899999999999999,88.1,52.800000000000004
8,6,2000,1000,-12.0,0.3,5,5.915,3.565457542516456,5.0,1,10,14.7,85.3,36.8
8,6,2000,1000,-12.0,0.3,6,5.382,3.4814072149342423,4.0,1,10,15.7,84.3,30.0
8,6,2000,1000,-12.0,0.3,7,5.21,3.4484477365608703,4.0,1,10,16.0,84.0,27.700000000000003
8,7,2000,1000,-12.0,0.3,0,4.61,2.5452658757737625,3.0,2,10,0.0,100.0,11.0
8,7,2000,1000,-12.0,0.3,1,6.553,2.8659037674709884,6.0,2,10,0.0,100.0,35.5
8,7,2000,1000,-12.0,0.3,2,4.954,2.9326582624786828,4.0,1,10,0.7000000000000001,99.3,20.4
8,7,2000,1000,-12.0,0.3,3,5.788,3.3457809626827415,5.0,1,10,4.2,95.8,33.800000000000004
8,7,2000,1000,-12.0,0.3,4,6.316,3.580357937827301,6.0,1,10,11.5,88.5,42.3
