T_final,c0_death,epsilon_selection,stage,mean_q_range_mean,mean_q_range_sd,median_q_range_mean,median_q_range_sd,mean_top2_gap_mean,mean_top2_gap_sd,median_top2_gap_mean,median_top2_gap_sd,mean_q_sd_across_treatments_mean,mean_q_sd_across_treatments_sd,mean_q_max_mean,mean_q_min_mean,relative_stage
5,-12.0,0.3,1,1.1510495487024412,0.06571947927983167,0.8996975440043583,0.03506684634156455,0.21686087607654989,0.008229493356469301,0.19628151514793526,0.008814040831786562,0.40498346133136176,0.025377948257906104,2.2980450606052782,1.1469955119028366,0.0
5,-12.0,0.3,2,0.5135190618378469,0.0361181124347028,0.31802019448333707,0.04673290251175834,0.13048809193014116,0.009586813890321337,0.08118503574316982,0.010408421048782852,0.17517768346003565,0.01243922666267448,1.3435005135027225,0.8299814516648757,0.25
5,-12.0,0.3,3,0.2875418294727801,0.030708929606562057,0.23089841640503658,0.03061333385482376,0.075989933877091,0.00803183342124012,0.05954966220360669,0.007588028557345732,0.09758452430864226,0.010549978674913797,0.7917962380623994,0.5042544085896192,0.5
5,-12.0,0.3,4,0.14226953584520405,0.02102162157684485,0.10313467443593582,0.014641421987414449,0.033854457437181726,0.005175739110229104,0.031352594945931095,0.004371386759387751,0.04833823452727541,0.007192697846179588,0.45439695995725665,0.3121274241120526,0.75
5,-12.0,0.3,5,0.07810915199201354,0.016315052729346646,0.050726172772549386,0.013756682543956353,0.015470385279891507,0.0029835964424565807,0.013177534544592067,0.002535810998874343,0.026774128988996178,0.005661643497708229,0.20654734411672443,0.1284381921247109,1.0
7,-12.0,0.3,1,1.42824168100899,0.1219420024527099,1.0393164198654552,0.11256256025647057,0.2530866425103637,0.026186929694786667,0.21779471697618752,0.015585214497239217,0.5050977733587612,0.04498448751503219,2.98440815811779,1.5561664771088002,0.0
7,-12.0,0.3,2,0.6699926916296335,0.05836695763609722,0.4412261783074042,0.048058499513325595,0.1693579489485939,0.013560303766828301,0.11372486913486768,0.013458782063204224,0.22923922295779767,0.020760014277273007,1.9133070917245139,1.2433144000948806,0.16666666666666666
7,-12.0,0.3,3,0.41522188293727974,0.034627797640224445,0.328424247595757,0.03002661783163105,0.10808912429399982,0.00867877781523872,0.08852193344421863,0.010479801077663803,0.14090945650220943,0.012064689663335092,1.264448556512967,0.8492266735756873,0.3333333333333333
7,-12.0,0.3,4,0.2392123545941816,0.024828037058851362,0.16287474088668022,0.012754605075030958,0.05384712130729483,0.004289488130120117,0.04908482372351606,0.004545520410859682,0.08123104559148811,0.008523922935366914,0.8714513463722682,0.6322389917780866,0.5
7,-12.0,0.3,5,0.1563642910305738,0.025734400612641043,0.09263316005323433,0.010513415968501085,0.03007540806158503,0.0031959293966368875,0.026572381485976952,0.001909511099365339,0.05329063108725929,0.008864988707017674,0.5951361029814051,0.4387718119508313,0.6666666666666666
