T_final,c0_death,epsilon_selection,stage,mean_n_admissible_mean,mean_n_admissible_sd,mean_n_admissible_min,mean_n_admissible_max,sd_n_admissible_mean,median_n_admissible_mean,min_n_admissible_mean,max_n_admissible_mean,pct_1_treatment_mean,pct_1_treatment_sd,pct_2plus_treatments_mean,pct_2plus_treatments_sd,pct_all_treatments_mean,pct_all_treatments_sd,relative_stage
5,-12.0,0.3,1,4.119400000000001,0.28562376184997873,3.855,4.752,2.208319760303908,3.0,2.0,10.0,0.0,0.0,100.0,0.0,6.4,4.125799585804214,0.0
5,-12.0,0.3,2,5.7147,0.4026321867136032,5.207,6.624,2.811829739079815,4.6,1.7,10.0,0.1,0.19436506316151,99.9,0.19436506316150887,24.81,5.454142156807672,0.25
5,-12.0,0.3,3,4.904999999999999,0.372192602469922,4.397,5.586,2.95999820605899,3.6,1.0,10.0,2.52,1.0982814858779248,97.47999999999999,1.0982814858779284,20.16,3.9364959037194494,0.5
5,-12.0,0.3,4,5.3823,0.6708308364342764,4.335,6.249,3.4084579916983033,4.5,1.0,10.0,10.1,2.4837248013596214,89.9,2.4837248013596205,30.439999999999998,7.807290040582442,0.75
5,-12.0,0.3,5,4.4436,0.6572319394416419,3.663,5.629,3.369780089583217,3.1,1.0,10.0,19.89,4.364363260163693,80.11,4.364363260163694,23.029999999999998,6.811925816781428,1.0
7,-12.0,0.3,1,4.457800000000001,0.379754540606312,3.964,5.345,2.238524969238296,3.4,2.0,10.0,0.0,0.0,100.0,0.0,7.909999999999999,4.549102475580577,0.0
7,-12.0,0.3,2,6.2483,0.5172489299704308,5.561,7.381,2.902749943189137,5.5,2.0,10.0,0.0,0.0,100.0,0.0,32.64,8.01043763542986,0.16666666666666666
7,-12.0,0.3,3,5.372,0.3579562356862451,4.779,5.912,3.048644933916742,4.3,1.1,10.0,1.6,1.0934146311237818,98.4,1.093414631123786,24.56,4.046177894699584,0.3333333333333333
7,-12.0,0.3,4,6.0617,0.20796583586947362,5.785,6.419,3.478466103465182,5.7,1.0,10.0,7.860000000000001,1.5529183995160707,92.14,1.55291839951607,38.03,3.045233068985762,0.5
7,-12.0,0.3,5,5.8809,0.45761372599849115,5.328,6.621,3.643975322085816,5.7,1.0,10.0,14.24,1.9602720899575818,85.76,1.9602720899575814,39.089999999999996,6.878218438584869,0.6666666666666666
7,-12.0,0.3,6,5.289,0.5578576082757237,4.581,6.409,3.5442183263961295,4.7,1.0,10.0,17.41,2.098385622859207,82.59,2.0983856228592037,31.840000000000003,8.531406032354157,0.8333333333333334
7,-12.0,0.3,7,5.107200000000001,0.7597149757931883,4.263,6.282,3.580148861059608,4.5,1.0,10.0,20.23,3.334016596639355,79.77000000000001,3.334016596639355,31.35,10.386770431659686,1.0
8,-12.0,0.3,1,4.4671,0.21243532349086083,4.226,4.912,2.2593271335334264,3.4,2.0,10.0,0.0,0.0,100.0,0.0,8.66,4.036004625038646,0.0
8,-12.0,0.3,2,6.5941,0.6958386546702713,5.26,7.453,2.900501766939117,6.2,2.0,10.0,0.0,0.0,100.0,0.0,38.010000000000005,8.656718649567964,0.14285714285714285
8,-12.0,0.3,3,5.4662,0.30373775238225226,4.954,5.932,3.0634040309188477,4.3,1.1,10.0,0.9,0.7788880963698616,99.1,0.7788880963698672,25.8,3.980228915806505,0.2857142857142857
8,-12.0,0.3,4,5.8998,0.36836117541830543,5.21,6.473,3.4260461511629146,5.0,1.0,10.0,6.6,2.0569664827388685,93.4,2.056966482738864,36.190000000000005,5.160630883052102,0.42857142857142855
8,-12.0,0.3,5,6.2695,0.40057964945258445,5.559,6.903,3.692211641062589,7.2,1.0,10.0,13.959999999999999,2.8426122571403303,86.03999999999999,2.8426122571403276,45.07,5.941763673822411,0.5714285714285714
8,-12.0,0.3,6,5.7113,0.5399514484346408,5.047,6.858,3.6319425406771884,5.3,1.0,10.0,16.39,2.5053054814843554,83.61,2.5053054814843514,36.980000000000004,7.214460786811754,0.7142857142857143
8,-12.0,0.3,7,5.246,0.1876355806106908,4.92,5.48,3.5547392578254113,4.1,1.0,10.0,17.740000000000002,1.5334782540210843,82.26,1.5334782540210827,30.2,2.54296414970142,0.8571428571428571
8,-12.0,0.3,8,5.319,0.49365777619723566,4.738,6.46,3.6207241000996264,4.4,1.0,10.0,18.48,2.8843639776483756,81.52000000000001,2.8843639776483725,32.64,6.601212009926663,1.0
9,-12.0,0.3,1,4.3513,0.2414442884900043,4.044,4.728,2.0925169169103035,3.3,2.0,10.0,0.0,0.0,100.0,0.0,6.32,2.319386892166884,0.0
9,-12.0,0.3,2,6.757300000000001,0.4367832032790027,5.948,7.377,2.912386457290394,6.7,2.0,10.0,0.0,0.0,100.0,0.0,39.779999999999994,5.958336829835804,0.125
9,-12.0,0.3,3,5.6273,0.5151034523924944,4.895,6.594,2.970520503969126,4.8,1.2,10.0,0.9199999999999999,0.8778762251403479,99.08,0.8778762251403501,25.53,5.118170245963559,0.25
9,-12.0,0.3,4,6.0323,0.5252929447249202,5.1,6.676,3.4192249095892024,5.4,1.0,10.0,6.959999999999999,3.0078416033945516,93.03999999999999,3.007841603394541,37.7,5.73120115391762,0.375
9,-12.0,0.3,5,6.587000000000001,0.5573339314191368,5.35,7.147,3.6687004050180994,8.4,1.0,10.0,12.569999999999999,4.452976532612764,87.42999999999999,4.452976532612769,49.730000000000004,7.509556874040202,0.5
9,-12.0,0.3,6,6.4034,0.5334823125257085,5.602,7.21,3.7065144390020315,7.4,1.0,10.0,14.37,2.8635836134310986,85.63,2.863583613431101,47.43,7.115249663769908,0.625
9,-12.0,0.3,7,6.0595,0.4619125097533798,5.373,6.809,3.6589021398786725,6.0,1.0,10.0,14.74,2.6243306024796325,85.26,2.6243306024796387,41.08,5.547531983784426,0.75
9,-12.0,0.3,8,6.019299999999999,0.3966851676357739,5.495,6.762,3.658683173546991,6.2,1.0,10.0,14.180000000000001,1.6605220062779464,85.82000000000001,1.6605220062779467,40.93,6.3590792485145915,0.875
9,-12.0,0.3,9,6.0987,0.5497753177435311,5.318,6.954,3.6840226998216927,6.3,1.0,10.0,15.01,3.2212661416833535,84.99,3.2212661416833543,43.09,8.315908449071175,1.0
10,-12.0,0.3,1,4.3641,0.2771527657367961,4.006,4.818,1.910033488198114,3.8,2.1,10.0,0.0,0.0,100.0,0.0,5.39,2.310098602994157,0.0
10,-12.0,0.3,2,6.7864,0.4186797237878986,6.097,7.266,2.9161183698739466,6.4,2.0,10.0,0.0,0.0,100.0,0.0,40.13,6.379489704426906,0.1111111111111111
10,-12.0,0.3,3,5.7558,0.48399375569893,5.307,6.616,2.962611727273242,4.8,1.0,10.0,0.7,0.4422166387140533,99.3,0.44221663871405886,26.639999999999997,6.974748103774868,0.2222222222222222
10,-12.0,0.3,4,6.2828,0.7829200044278682,4.768,7.236,3.380188929763205,6.95,1.0,10.0,6.08,2.0831599927887336,93.92,2.083159992788722,41.010000000000005,10.903969715454807,0.3333333333333333
10,-12.0,0.3,5,6.7221,0.48963329815961937,5.827,7.384,3.656080092536766,8.9,1.0,10.0,12.080000000000002,2.5947810868913184,87.92,2.594781086891319,51.65,6.599873736165967,0.4444444444444444
10,-12.0,0.3,6,6.7985,0.27327123278286475,6.379,7.281,3.759532896286455,9.55,1.0,10.0,14.7,2.0768565991260277,85.3,2.0768565991260397,54.32000000000001,4.500074073464419,0.5555555555555556
10,-12.0,0.3,7,6.5844,0.4660446330556763,5.934,7.118,3.6550177352218824,8.4,1.0,10.0,13.13,1.958485809666913,86.87,1.9584858096669162,48.55,7.286860320695966,0.6666666666666666
10,-12.0,0.3,8,6.5872,0.6149651841997053,5.505,7.46,3.586755543914445,7.9,1.0,10.0,12.1,2.417068932037773,87.9,2.417068932037773,47.67,9.404732851070252,0.7777777777777778
10,-12.0,0.3,9,6.439400000000001,0.49553320328264133,5.363,7.109,3.5638567916564257,7.45,1.0,10.0,12.04,3.0236842868703513,87.96000000000001,3.023684286870357,44.12,6.800457500949641,0.8888888888888888
10,-12.0,0.3,10,6.4879999999999995,0.459082418163304,5.919,7.402,3.5157588142410092,7.1,1.0,10.0,11.370000000000001,2.9996481275124403,88.63,2.9996481275124434,43.589999999999996,4.478206486232331,1.0
12,-12.0,0.3,1,4.337899999999999,0.24209063959140945,4.027,4.814,1.8968978492121362,3.7,2.1,10.0,0.0,0.0,100.0,0.0,5.430000000000001,3.3370146338706204,0.0
12,-12.0,0.3,2,6.9113,0.3339644192624917,6.282,7.354,2.924575819905722,6.9,2.0,10.0,0.0,0.0,100.0,0.0,42.660000000000004,4.8435982951153616,0.09090909090909091
12,-12.0,0.3,3,6.026999999999999,0.48204656298835785,5.354,7.006,3.0238997300806787,5.4,1.0,10.0,0.72,0.565292451352002,99.28,0.5652924513520009,30.1,7.5409990496396855,0.18181818181818182
